lines_of_code,cyclomatic_complexity,num_functions,num_classes,comment_density,code_churn,num_developers,commit_frequency,avg_function_length,bug_fix_commits,past_defects,defect
904,12,102,6,0.05,247,4,183,171,166,15,1
3524,12,84,38,0.47,661,7,285,158,11,43,1
1757,7,116,69,0.38,264,8,108,132,182,28,1
2827,28,12,61,0.09,296,12,275,31,180,40,1
1783,26,37,6,0.48,975,4,262,181,55,41,1
4981,48,199,5,0.11,78,9,261,5,148,12,1
3560,7,160,1,0.11,355,3,123,182,187,10,1
252,3,137,74,0.34,211,3,299,72,116,33,1
3305,13,122,42,0.3,697,10,296,159,91,43,1
4268,41,37,87,0.38,325,12,180,75,67,17,1
4546,11,128,69,0.31,469,6,104,121,11,11,1
816,39,137,50,0.5,70,8,36,140,25,5,1
4439,23,147,51,0.0,232,12,63,183,142,42,1
2377,47,103,87,0.24,541,9,56,198,152,4,1
2981,1,64,65,0.49,177,12,172,85,5,24,1
247,34,8,53,0.33,728,9,207,81,155,42,1
1980,31,140,39,0.59,272,6,253,161,148,34,1
3632,33,37,14,0.59,603,7,49,129,128,3,1
658,47,16,6,0.58,213,4,204,11,79,4,1
3322,36,105,89,0.59,344,8,83,194,22,3,1
1197,36,131,32,0.32,76,9,222,109,17,3,1
4332,14,136,57,0.3,667,3,159,55,52,44,1
3447,37,139,33,0.31,418,12,26,166,143,23,1
2561,32,82,74,0.0,136,7,107,192,31,22,1
1844,28,74,55,0.13,13,12,222,131,161,27,1
709,1,143,58,0.11,442,7,205,180,106,2,1
2861,47,23,22,0.08,965,10,70,148,102,5,1
1419,7,12,54,0.15,965,10,64,58,41,36,1
2036,16,131,24,0.59,87,4,55,158,133,45,1
196,32,61,75,0.0,86,3,181,38,71,1,1
3269,24,193,86,0.29,401,12,250,45,125,17,1
2961,14,35,96,0.5,370,14,109,114,131,39,1
1784,47,129,41,0.22,252,2,214,100,26,30,1
1893,15,100,84,0.18,65,7,117,141,76,12,1
538,1,122,8,0.27,711,7,189,190,188,24,1
3026,28,117,40,0.48,615,2,1,106,118,38,1
2009,19,111,13,0.16,625,1,235,51,97,44,1
2435,7,14,61,0.53,700,7,75,163,82,49,1
2969,18,84,90,0.16,171,7,190,53,87,13,1
4786,47,84,8,0.23,199,2,156,22,138,47,1
1852,13,33,90,0.24,539,11,202,31,57,21,1
4111,18,120,73,0.4,318,5,52,32,30,17,1
3419,4,117,67,0.07,526,4,107,179,146,34,1
312,4,179,65,0.16,388,4,60,10,175,27,1
673,27,69,39,0.07,316,4,101,51,71,14,1
1066,16,87,23,0.08,922,4,177,69,122,7,1
3693,14,16,99,0.26,318,6,261,40,127,15,1
2099,14,41,57,0.37,652,12,240,126,143,4,0
3773,7,110,73,0.36,447,13,192,7,195,15,1
4598,45,91,51,0.45,590,13,91,154,141,38,1
3158,14,73,55,0.39,40,3,236,180,60,39,1
4140,42,14,53,0.48,11,6,252,153,178,36,1
2106,45,29,21,0.54,160,9,196,61,114,35,1
3220,6,142,82,0.35,152,10,277,181,165,10,1
1732,43,95,4,0.58,683,8,235,144,180,23,1
2305,38,135,63,0.15,986,5,68,158,42,15,1
1204,27,172,28,0.45,327,9,296,96,88,5,1
4549,11,9,95,0.41,92,3,243,44,86,13,1
3241,31,189,56,0.36,818,4,185,27,11,39,1
1746,49,78,60,0.07,475,11,153,120,1,28,1
4041,3,188,15,0.23,160,9,149,51,126,22,1
4773,1,83,66,0.38,579,13,270,73,56,31,1
4732,16,53,96,0.48,311,4,181,162,154,9,1
1698,44,74,39,0.01,243,14,235,94,55,21,1
1495,27,47,74,0.13,38,9,134,145,106,35,1
4249,46,144,39,0.54,252,12,184,51,139,13,1
3973,3,47,72,0.02,173,1,272,183,110,30,1
303,8,165,91,0.08,487,8,4,106,167,5,1
3233,16,23,92,0.46,365,3,77,129,135,46,1
2607,47,159,28,0.35,73,4,288,117,157,43,1
148,2,58,36,0.58,801,13,267,71,139,5,0
2250,29,191,35,0.55,353,12,89,179,156,31,1
3011,16,130,79,0.42,424,13,122,120,68,36,1
4483,29,86,33,0.08,158,11,118,136,76,7,1
3827,31,125,36,0.17,215,5,228,118,190,28,1
2919,42,4,48,0.23,308,9,249,189,15,35,1
3284,11,97,28,0.11,530,14,20,130,154,21,1
3841,32,150,86,0.54,244,4,205,39,186,11,1
1006,24,185,52,0.21,225,9,201,180,122,36,1
4117,19,31,45,0.26,617,2,85,73,101,29,1
210,32,97,86,0.31,870,3,29,92,40,6,1
4543,10,54,41,0.59,479,2,282,132,103,2,1
1350,49,124,35,0.31,779,3,73,77,192,18,1
4961,32,148,76,0.27,847,13,224,199,153,1,1
4037,23,169,14,0.01,658,5,220,167,109,49,1
1577,33,9,26,0.05,123,14,58,129,179,19,1
1268,30,176,5,0.46,438,4,178,190,72,33,1
4546,30,23,64,0.13,411,13,74,105,157,23,1
4785,7,161,64,0.33,143,1,299,127,19,31,1
3154,16,33,2,0.06,282,5,160,168,15,21,1
2785,43,197,71,0.53,651,6,91,11,12,20,1
4605,1,191,49,0.22,859,7,164,131,191,32,1
1004,30,53,56,0.06,915,13,122,91,98,26,1
4615,34,115,94,0.1,908,14,88,60,153,45,1
3496,34,21,31,0.17,498,3,276,172,95,11,1
1095,38,64,51,0.12,612,4,65,133,110,17,1
1743,31,32,58,0.44,473,7,110,124,59,27,1
3486,8,192,90,0.25,493,5,116,150,11,16,1
612,20,169,15,0.42,842,13,144,131,183,39,1
2535,46,46,50,0.07,711,8,237,180,123,29,1
3404,29,150,47,0.22,163,13,146,5,155,33,1
275,31,18,79,0.38,109,14,100,44,81,48,1
4943,21,100,39,0.09,355,12,228,116,158,4,1
1009,26,119,96,0.32,712,2,232,82,80,8,1
4598,31,153,79,0.07,694,2,95,30,36,10,1
3117,20,90,35,0.15,528,3,232,93,125,31,1
865,22,77,70,0.42,523,7,293,159,103,22,1
4804,40,96,92,0.05,972,4,266,36,148,14,1
4692,26,67,53,0.11,268,12,2,53,126,23,1
3170,17,119,27,0.51,228,12,274,52,185,45,1
66,25,19,79,0.57,366,5,41,145,118,43,1
1293,37,78,1,0.6,608,2,218,178,183,12,1
2255,27,21,28,0.46,846,7,99,80,145,6,1
2574,3,50,59,0.36,483,6,98,178,107,10,0
1119,24,152,57,0.23,631,11,115,77,102,4,1
3494,25,61,99,0.36,117,9,149,88,58,43,1
2615,10,80,4,0.13,806,14,299,49,194,39,1
1110,36,101,12,0.34,220,5,250,53,163,8,1
2377,42,72,69,0.11,862,6,195,85,176,44,1
3470,18,60,58,0.14,388,9,25,136,69,45,1
351,45,93,7,0.49,24,11,256,163,12,19,1
4326,17,179,72,0.23,466,11,115,64,128,25,1
656,14,178,80,0.17,926,1,23,70,115,6,1
3220,19,57,1,0.52,379,13,228,51,94,7,0
749,18,197,98,0.53,11,3,112,49,34,16,1
1189,23,142,9,0.17,458,5,172,42,120,0,1
240,8,24,97,0.02,775,14,147,132,51,12,1
2350,16,10,3,0.13,192,11,290,120,105,5,1
1030,25,197,34,0.14,919,10,61,84,111,9,1
3025,43,45,48,0.29,255,3,149,34,180,46,1
1234,32,182,87,0.29,32,13,216,98,186,25,1
3377,49,114,18,0.26,827,6,39,190,177,49,1
3444,19,11,6,0.04,658,4,261,129,47,10,1
177,18,93,29,0.4,168,8,59,169,61,28,1
2115,32,98,61,0.08,586,6,241,71,71,45,1
1866,46,66,22,0.45,154,1,151,119,182,8,1
619,49,169,69,0.1,398,14,175,54,158,48,1
1945,40,55,68,0.35,823,12,143,32,15,35,1
2783,15,48,26,0.5,953,10,34,50,117,26,1
3913,49,48,21,0.12,585,3,215,99,185,22,1
4771,21,169,12,0.45,676,5,73,183,149,14,1
4064,11,58,74,0.15,342,2,72,141,158,2,1
2951,29,167,20,0.4,194,8,36,189,23,0,1
1736,32,72,31,0.56,837,14,76,166,125,30,1
3059,6,138,46,0.18,804,7,299,57,51,12,1
204,19,53,5,0.49,726,9,138,189,80,28,1
2587,16,109,61,0.08,234,10,36,74,59,23,1
1459,12,75,63,0.42,840,7,104,35,10,39,1
4107,15,60,11,0.14,674,11,2,114,11,49,1
834,11,78,37,0.19,413,11,11,92,169,3,1
3225,39,69,6,0.19,402,8,286,125,30,35,1
4391,10,50,62,0.43,48,3,38,195,182,44,1
2856,37,112,10,0.4,552,13,54,93,116,8,1
587,49,25,27,0.1,605,2,80,21,48,31,1
1891,24,26,28,0.51,352,14,146,157,148,46,1
2505,36,38,39,0.18,868,8,88,114,198,33,1
574,1,44,26,0.18,327,8,298,187,64,32,1
3000,46,45,31,0.11,450,7,59,153,184,15,1
4181,17,98,72,0.11,751,8,202,103,56,22,1
4830,14,17,19,0.31,689,7,299,162,100,15,1
4165,38,116,86,0.22,783,5,195,69,126,26,1
2418,25,53,43,0.25,5,14,67,93,149,2,1
3897,37,164,95,0.23,564,5,254,178,151,9,1
4545,35,95,56,0.41,689,13,225,99,109,46,1
2751,22,18,54,0.05,87,2,200,18,148,13,1
1021,47,12,1,0.18,535,3,30,114,27,27,1
1216,7,198,63,0.58,850,6,57,69,14,5,1
4979,11,139,43,0.29,892,14,120,35,14,2,1
2824,10,26,72,0.08,334,12,156,42,181,5,1
2032,14,169,50,0.3,191,10,172,126,12,43,1
903,35,136,58,0.5,631,7,275,103,120,47,1
4196,46,96,75,0.22,97,2,131,191,101,47,1
3786,49,119,33,0.33,990,12,194,192,72,35,1
3819,36,113,18,0.55,284,12,282,74,17,40,1
624,6,133,90,0.33,758,5,71,44,79,0,1
3311,5,196,2,0.39,219,1,130,62,183,44,1
1198,42,165,56,0.01,967,3,52,171,199,26,1
1765,7,47,47,0.48,429,7,226,119,179,34,1
4827,15,134,55,0.5,381,11,60,90,169,49,1
4983,21,22,18,0.36,831,3,102,77,129,39,1
3904,18,90,55,0.05,753,10,63,30,58,14,1
2541,1,29,64,0.58,315,14,54,18,130,23,1
2710,4,157,54,0.41,810,7,52,104,71,0,1
3174,11,197,94,0.27,440,1,245,43,139,0,1
3101,10,147,77,0.53,983,11,284,66,154,27,1
54,45,3,32,0.24,246,11,232,49,22,48,1
4919,19,40,28,0.39,380,9,169,164,43,8,1
926,42,47,74,0.13,884,7,272,151,46,39,1
1041,30,128,63,0.54,788,9,266,172,120,43,1
4192,41,104,20,0.32,250,5,15,8,142,25,1
4414,41,125,69,0.14,938,5,251,105,101,28,1
4515,20,188,18,0.05,481,8,13,27,132,40,1
685,27,168,13,0.54,505,4,104,37,92,10,1
1743,12,87,48,0.12,778,13,33,190,84,27,1
1732,14,155,17,0.59,52,1,180,161,40,24,1
4802,34,192,58,0.09,128,11,227,165,29,38,1
169,42,13,57,0.28,447,12,191,21,118,27,1
880,38,86,1,0.32,426,6,26,164,39,9,1
3725,2,11,83,0.15,362,1,296,26,81,45,1
1419,49,93,1,0.6,228,9,32,187,180,7,1
790,32,79,49,0.35,45,13,89,19,146,2,1
166,18,25,2,0.34,663,4,295,46,111,36,1
2888,21,85,38,0.52,426,1,148,30,24,9,1
1200,46,171,81,0.35,885,4,92,149,43,24,1
1981,11,55,20,0.29,921,10,82,152,184,13,1
1062,30,73,29,0.29,388,8,241,15,185,46,1
1714,19,28,86,0.43,745,4,216,43,119,3,1
1131,48,87,56,0.21,592,3,16,81,116,14,1
4779,40,157,8,0.31,57,6,272,177,2,39,1
562,30,94,2,0.19,957,9,122,194,165,12,1
2899,35,89,89,0.54,739,13,273,133,133,29,1
609,4,163,19,0.12,59,8,154,8,130,47,1
3722,21,129,43,0.35,940,4,155,169,53,41,1
4633,5,174,22,0.19,438,3,223,82,167,28,1
3393,36,103,49,0.33,369,4,226,100,28,33,1
4120,27,24,96,0.31,123,4,47,166,127,10,1
4849,7,89,86,0.28,761,8,287,141,73,44,1
1520,31,147,36,0.27,602,9,231,116,46,26,1
630,20,19,59,0.26,945,11,135,56,170,12,1
2344,25,161,4,0.25,772,10,292,141,127,0,1
3197,38,53,77,0.09,579,1,17,11,10,4,1
4299,25,104,37,0.56,708,10,253,145,49,43,1
1729,17,87,86,0.59,350,3,221,42,70,49,1
3556,46,183,47,0.28,102,12,253,128,54,19,1
2794,37,52,75,0.27,647,8,272,83,98,5,1
3406,15,113,55,0.24,897,2,89,77,179,29,1
4095,10,99,80,0.13,486,10,180,94,92,26,1
1293,34,112,76,0.05,763,3,16,191,48,32,1
3168,44,101,79,0.01,562,13,204,139,87,45,1
2191,43,169,61,0.34,371,3,193,152,69,20,1
3109,7,67,90,0.43,822,4,7,155,54,7,1
4598,39,172,56,0.06,737,10,5,24,100,47,1
3009,25,12,23,0.29,745,14,237,33,37,30,1
2315,39,123,36,0.1,688,4,133,5,52,41,1
2529,46,34,59,0.09,856,5,36,171,72,1,1
4696,44,198,72,0.44,726,8,19,104,37,3,1
1685,28,175,16,0.55,782,9,50,155,69,17,1
1807,42,194,42,0.54,493,7,273,81,122,20,1
4502,27,21,86,0.17,816,8,124,74,98,39,1
2120,37,75,11,0.16,819,3,159,184,1,15,1
2899,39,33,3,0.3,13,3,30,92,75,31,1
3301,38,13,4,0.58,551,12,213,74,172,25,1
3780,28,43,94,0.03,632,13,13,124,137,8,1
2539,34,12,6,0.56,670,6,181,189,24,16,1
1681,29,23,54,0.09,277,11,217,88,156,22,1
2866,45,82,74,0.21,475,8,122,18,68,3,1
1065,48,127,49,0.17,559,3,173,130,81,20,1
1398,8,60,75,0.41,872,3,145,55,56,40,1
4661,13,113,37,0.44,93,6,163,20,72,42,1
3137,46,20,0,0.46,401,8,92,165,54,27,1
2889,37,54,71,0.05,533,5,130,32,180,25,1
385,3,102,80,0.05,271,4,126,87,15,17,1
4642,14,112,51,0.54,569,12,107,167,103,18,1
945,32,162,20,0.48,342,1,37,110,69,38,1
3596,23,42,3,0.55,435,14,73,89,178,28,1
901,23,43,48,0.42,95,10,257,21,29,20,1
1737,13,53,27,0.03,90,13,263,76,188,31,1
1981,49,10,94,0.41,95,7,93,162,104,29,1
3796,41,112,85,0.54,592,12,106,146,64,38,1
2477,39,194,8,0.2,329,13,56,141,112,33,1
1618,21,24,52,0.06,472,14,37,146,154,31,1
4050,43,70,47,0.05,877,1,156,84,41,10,1
2788,48,133,89,0.07,622,10,175,32,57,22,1
3548,31,158,44,0.06,264,2,2,46,59,0,1
3963,7,131,96,0.35,602,11,251,88,123,39,1
1116,36,120,99,0.14,21,13,66,48,22,26,1
4430,19,76,23,0.02,428,9,161,62,162,25,1
2494,22,26,55,0.55,964,13,99,32,133,33,1
4157,24,162,51,0.41,720,9,161,33,35,13,1
3423,24,106,63,0.53,44,10,19,176,189,19,1
4019,21,22,3,0.29,117,7,24,150,3,22,1
2596,43,175,72,0.53,690,9,94,27,49,44,1
803,13,187,78,0.43,159,8,180,127,111,49,1
2132,6,102,32,0.45,206,10,76,172,111,37,1
2824,28,88,4,0.21,265,3,91,60,9,26,1
2946,32,76,61,0.22,905,8,241,153,197,32,1
4235,13,53,89,0.56,586,4,7,173,110,38,1
825,34,46,2,0.31,38,10,132,33,49,40,1
1675,32,183,95,0.59,390,1,194,11,130,29,1
3119,14,146,52,0.26,732,7,68,162,137,4,1
467,32,17,47,0.54,620,3,203,35,82,2,1
164,45,168,20,0.09,886,8,221,58,97,28,1
666,5,165,52,0.12,365,14,22,84,82,8,1
4024,35,31,0,0.42,864,7,299,42,75,20,1
3317,4,9,25,0.52,563,8,110,86,172,1,1
875,14,103,26,0.3,141,1,52,75,55,6,0
1566,18,116,99,0.39,56,1,122,51,101,3,1
3196,11,19,46,0.35,802,6,190,61,46,36,1
462,19,53,32,0.15,925,10,265,117,103,34,1
778,2,170,84,0.52,838,10,198,105,199,39,1
3398,34,3,93,0.5,893,8,130,164,175,39,1
2858,3,36,43,0.24,465,4,271,49,184,22,1
725,29,90,84,0.01,795,9,164,191,39,43,1
3515,23,78,56,0.14,353,4,93,73,134,16,1
2554,48,187,15,0.01,277,3,147,43,43,1,1
3017,1,96,36,0.58,521,11,80,168,132,5,1
2836,42,136,8,0.48,1,6,121,81,140,28,1
1172,6,181,28,0.47,345,11,94,102,189,9,0
4129,17,37,19,0.49,177,14,190,169,11,16,1
1621,19,75,7,0.22,241,8,179,118,38,12,1
2193,44,70,77,0.05,582,11,9,73,63,13,1
1737,48,165,46,0.38,83,6,59,147,17,14,1
4182,2,160,40,0.4,681,4,150,64,147,21,1
3901,15,161,41,0.29,241,11,269,131,180,44,1
3490,23,174,6,0.6,985,14,167,51,32,18,1
3816,19,81,59,0.3,159,6,59,96,101,36,1
2376,33,61,40,0.24,845,12,216,21,141,19,1
2964,6,182,16,0.13,99,13,177,127,172,23,1
4002,19,166,73,0.21,815,9,77,38,105,39,1
645,30,178,36,0.36,968,12,155,55,41,19,1
778,22,150,61,0.14,997,4,72,195,185,41,1
1415,3,191,88,0.24,939,5,120,98,112,15,1
4542,5,194,86,0.15,261,10,153,71,182,37,1
748,30,186,43,0.56,328,2,246,92,123,5,1
445,3,114,35,0.52,432,14,162,139,160,26,1
4221,39,23,63,0.07,801,5,186,129,184,33,1
4410,39,141,81,0.55,251,8,214,18,133,39,1
2552,28,28,41,0.41,794,7,206,48,75,9,1
1869,1,144,29,0.31,868,10,156,161,194,46,1
767,22,188,5,0.04,276,9,136,108,72,26,1
2832,45,13,78,0.28,319,1,48,28,165,21,1
4996,45,121,23,0.36,435,8,239,111,50,8,1
3627,47,127,28,0.48,572,5,131,129,164,4,1
193,39,152,15,0.02,163,10,190,198,15,47,1
3190,17,68,54,0.29,22,5,187,174,81,41,1
4541,42,96,72,0.4,868,11,33,176,186,7,1
2988,28,174,69,0.37,90,1,84,63,105,15,1
3686,30,51,77,0.23,839,6,98,27,193,4,1
3272,40,45,16,0.4,640,12,51,151,21,25,1
1217,8,26,55,0.51,241,12,163,175,85,17,1
2666,27,171,10,0.03,898,5,145,153,61,41,1
1112,41,79,27,0.09,488,4,146,161,162,28,1
2206,45,80,6,0.5,993,1,80,179,21,28,1
3032,25,1,96,0.2,322,2,186,53,114,20,1
3344,13,28,28,0.23,5,9,259,35,139,12,1
4779,34,81,28,0.41,73,10,49,14,157,46,1
1206,39,16,60,0.59,31,6,71,122,81,14,1
782,7,188,65,0.44,246,10,284,118,87,48,1
4380,22,101,29,0.22,966,5,199,86,108,10,0
4896,33,144,18,0.26,809,1,140,172,12,8,1
1003,46,110,43,0.39,231,12,136,10,168,0,1
2589,38,196,55,0.3,795,10,113,60,131,5,1
3374,31,43,61,0.28,132,4,130,168,180,29,1
3351,45,24,73,0.31,820,1,209,70,150,28,1
1592,33,27,64,0.41,643,9,182,94,174,16,1
1241,22,163,49,0.24,166,13,287,67,76,12,1
3043,27,115,98,0.1,867,14,93,169,71,33,1
2731,27,34,80,0.35,81,10,88,78,196,30,1
